SISTEMA,OWNER,TABLE_NAME,NUM_ROWS,NUM_ROWS_STR,text,bubble_size
IMRC,TROYA,TCOF,6.0,6.00,Sistema: IMRC<br>Tabla:  TCOF<br>Numero de registro: 6.00<br>,22.44948974278318
SIRAC,SIRAC,PR_DIAP_MONARKA,0.0,0.00,Sistema: SIRAC<br>Tabla:  PR_DIAP_MONARKA<br>Numero de registro: 0.00<br>,20.0
SISEC,SISEC,SISEC_PERIODO_EXTEM_HIST,32.0,32.00,Sistema: SISEC<br>Tabla:  SISEC_PERIODO_EXTEM_HIST<br>Numero de registro: 32.00<br>,25.65685424949238
SISEC,SISEC,SISEC_CUEST_ESTATUS_HIST,10937.0,"10,937.00","Sistema: SISEC<br>Tabla:  SISEC_CUEST_ESTATUS_HIST<br>Numero de registro: 10,937.00<br>",124.58011283222064
SIRAC,SIRAC,PR_OPERACIONES,56.0,56.00,Sistema: SIRAC<br>Tabla:  PR_OPERACIONES<br>Numero de registro: 56.00<br>,27.48331477354788
BNC,BNC,BNC_AVALES,357.0,357.00,Sistema: BNC<br>Tabla:  BNC_AVALES<br>Numero de registro: 357.00<br>,38.89444362769119
SIRAC,SIRAC,PR_PARAMETRO_CONTABLE_DETALLE,45479.0,"45,479.00","Sistema: SIRAC<br>Tabla:  PR_PARAMETRO_CONTABLE_DETALLE<br>Numero de registro: 45,479.00<br>",233.25805963667585
SIAG,GIA,SIAG_CAT_IMP,251.0,251.00,Sistema: SIAG<br>Tabla:  SIAG_CAT_IMP<br>Numero de registro: 251.00<br>,35.842979517754856
SIAF,NSIAF,SIAF_EFA_EDO_MOD_4,2.0,2.00,Sistema: SIAF<br>Tabla:  SIAF_EFA_EDO_MOD_4<br>Numero de registro: 2.00<br>,21.414213562373096
SIRAC,SIRAC,GM_VALOR_PAAG,0.0,0.00,Sistema: SIRAC<br>Tabla:  GM_VALOR_PAAG<br>Numero de registro: 0.00<br>,20.0
IMRC,TROYA,TDCAM,986.0,986.00,Sistema: IMRC<br>Tabla:  TDCAM<br>Numero de registro: 986.00<br>,51.400636936215164
IMRC,TROYA,DMRS_MASK_TEMPLATES,0.0,0.00,Sistema: IMRC<br>Tabla:  DMRS_MASK_TEMPLATES<br>Numero de registro: 0.00<br>,20.0
SIRAC,SIRAC,GM_BALANCE_EXTRANJERO_DETALLE,0.0,0.00,Sistema: SIRAC<br>Tabla:  GM_BALANCE_EXTRANJERO_DETALLE<br>Numero de registro: 0.00<br>,20.0
SIAG,GIA,SIAG_AGREGACION,295970.0,"295,970.00","Sistema: SIAG<br>Tabla:  SIAG_AGREGACION<br>Numero de registro: 295,970.00<br>",564.0312491024757
SIAF,NSIAF,SIAF_EFA_EDO_MOD_C_DET2_BIT,0.0,0.00,Sistema: SIAF<br>Tabla:  SIAF_EFA_EDO_MOD_C_DET2_BIT<br>Numero de registro: 0.00<br>,20.0
MECA,MECA,MECA_NAFT_FUNCIONES_X_PERFIL,45.0,45.00,Sistema: MECA<br>Tabla:  MECA_NAFT_FUNCIONES_X_PERFIL<br>Numero de registro: 45.00<br>,26.70820393249937
MECA,MECA,MECA_MOVIMIENTOS_CONTRATO,0.0,0.00,Sistema: MECA<br>Tabla:  MECA_MOVIMIENTOS_CONTRATO<br>Numero de registro: 0.00<br>,20.0
SIRAC,SIRAC,MG_MODALIDAD,4.0,4.00,Sistema: SIRAC<br>Tabla:  MG_MODALIDAD<br>Numero de registro: 4.00<br>,22.0
SIRAC,SIRAC,PR_MOTIVOS_INCLUSION,0.0,0.00,Sistema: SIRAC<br>Tabla:  PR_MOTIVOS_INCLUSION<br>Numero de registro: 0.00<br>,20.0
SCC,TASU,TASU_SOFOLES_HIPOTECARIAS,157.0,157.00,Sistema: SCC<br>Tabla:  TASU_SOFOLES_HIPOTECARIAS<br>Numero de registro: 157.00<br>,32.52996408614167
SIRAC,SIRAC,MI_CONTRATOS_X_CLIENTE,6.0,6.00,Sistema: SIRAC<br>Tabla:  MI_CONTRATOS_X_CLIENTE<br>Numero de registro: 6.00<br>,22.44948974278318
SISEC,SISEC,DMRS_CHANGE_REQUESTS,0.0,0.00,Sistema: SISEC<br>Tabla:  DMRS_CHANGE_REQUESTS<br>Numero de registro: 0.00<br>,20.0
SIRAC,SIRAC,MG_DIAS_NO_HABILES_X_AGENCIA,0.0,0.00,Sistema: SIRAC<br>Tabla:  MG_DIAS_NO_HABILES_X_AGENCIA<br>Numero de registro: 0.00<br>,20.0
IMRC,TROYA,TQUA,293258.0,"293,258.00","Sistema: IMRC<br>Tabla:  TQUA<br>Numero de registro: 293,258.00<br>",561.5330091508735
SORI,SORI,SORI_CLIENTES_PERSO_ASOC,2339.0,"2,339.00","Sistema: SORI<br>Tabla:  SORI_CLIENTES_PERSO_ASOC<br>Numero de registro: 2,339.00<br>",68.363209157375
